**** boulder
thecoffeeride,40.0194,-105.259,"did we just become best friends? yes!!! #bike #delivered#coffee meet bike delivered #bbq.… https://t.co/sgutilrp0s"
maczimm12,40.0194,-105.259,"that's a nice boulder @ boulder, colorado https://t.co/fv0uxz49xn"
_boulderco,40.01574,-105.27924,"temperature up 55°f -&gt; 64°f humidity down 31% -&gt; 21% wind 0mph -&gt; 5mph"
zzooks,39.99889161,-105.28256128,"takin in all the sunshine and good times i can 🌞 @ flatirons-… https://t.co/0zjcvbqxff"
fioriboulder,40.02473726,-105.28097643,"playing with flowers this sunny afternoon #freespirit #girls #floristlife #flowersofinstagram… https://t.co/bb7ocjiwas"
absurdity_co,40.0194,-105.259,"we went on a hike today 😋⛰ w/ luvkittycats  : : : : : : #absurdity #absurdity2016 #hike #nature… https://t.co/lqf5ot2ltw"
tmj_cob_mgmt,40.0149856,-105.2705456,"#boulder, co #businessmgmt #job: principal consultant at oracle https://t.co/nwjiyqc3g4 #jobs #hiring #careerarc"
tmj_cob_manuf,40.0406506,-105.2077798,"see our latest #boulder, co #job and click to apply: entry-level assemblers needed! - https://t.co/izp8pqhwqi #kellyjobs #kellyservices"
jessmikala,40.0173683,-105.2809372,"last day in colorado with my bestie! #loveher #boulder #colorado… https://t.co/xyp0tffxcp"
tmj_cob_pharm,40.0149856,-105.2705456,"can you recommend anyone for this #job? medicinal chemist - https://t.co/9mmwtrpund #boulder, co #pharmaceutical #hiring"
guckenheimerjob,40.0149856,-105.2705456,"can you recommend anyone for this #hospitality #job? https://t.co/i2hdwn85xt #culinary #boulder, co #hiring"
tmj_cob_itmgmt,40.0406506,-105.2077798,"this #it #job might be a great fit for you: senoir sales operations and reporting analyst - https://t.co/jvblrgu0h5 #boulder, co #hiring"
tmj_cob_health1,40.0149856,-105.2705456,"want to work in #boulder, co? view our latest opening: https://t.co/v7f8dqpnug #medicaldevices #job #jobs #hiring"
suzzeva,40.03170048,-105.23394618,"skill sesh with my bro! #gettingreadyforbikeseason #hesstillgotit #valmontbikepark #flatirons @… https://t.co/laycfj6yg8"
tmj_cob_nurse1,40.0149856,-105.2705456,"join the favorite health care staffing team! see our latest #nursing #job opening here: https://t.co/q8mdiixtwu #boulder, co #hiring"
katyelkinton,40.0194,-105.259,"so far so good good is a vastly underrated word @ boulder, colorado https://t.co/2rduzlv2fk"
jimmycasey,40.0267,-105.248,"drinking a buffalo gold by @boulderbeerco at @boulderbeerco — https://t.co/az034q7e0k"
